item_id,popularity_score
461686,2142
5411,1903
309778,1754
370653,1483
257040,1477
369447,1475
7943,1443
298009,1347
48030,1268
335975,1233
445351,1216
312728,1203
111530,1186
37029,1175
29196,1130
96924,1097
234255,1048
354233,1020
441668,1004
409804,956
316753,951
315543,939
119736,925
17478,910
133814,887
420960,877
384302,877
219512,849
290999,838
161623,829
91755,816
151444,814
9877,795
315545,786
133907,767
112782,764
318333,761
29100,737
142466,731
241555,715
367664,702
179601,691
379520,690
320130,689
441852,684
23762,674
422425,669
102306,669
400946,669
12217,669
268883,664
299222,663
279457,654
355994,654
339703,652
393028,650
69533,646
231482,642
84160,641
272770,640
46156,636
65273,633
320494,629
303828,628
291877,615
350629,614
247909,611
374092,609
46232,605
399031,600
149275,599
341482,599
5470,597
416017,596
253615,571
158666,568
448453,551
42002,549
15948,548
325310,545
89775,534
58638,524
464731,523
359491,521
357054,519
334273,518
235224,513
232509,510
242905,508
109618,507
290250,507
216305,504
274798,502
369158,502
424515,501
382751,500
345279,498
231243,497
360487,493
91105,490
294482,490
100282,488
342530,488
299677,488
122604,487
209994,487
82278,486
303715,485
62549,484
138427,481
869,481
38965,480
413166,479
445749,470
266900,470
206880,468
378637,466
344071,466
321905,465
213834,465
243355,463
444593,462
344723,460
445105,458
210087,458
455183,457
51354,454
194791,454
80435,452
387373,451
286731,451
449912,450
204494,450
4001,450
198209,450
316779,450
460188,447
389158,446
40870,446
190000,442
200425,441
351044,440
280375,439
227318,436
304537,435
215596,434
225778,434
447661,433
428257,433
316472,432
82586,432
101845,432
292444,430
243980,430
118551,430
190070,430
314789,429
180751,428
459475,427
429094,423
393111,422
412898,422
12765,420
463617,417
22436,416
405770,415
172894,415
212216,414
113535,413
260539,413
255725,413
170262,413
162525,411
115323,411
312717,408
417927,408
254418,406
280328,405
222888,401
159822,400
372188,399
350103,397
442131,396
244252,395
11279,394
432152,391
283916,391
103156,390
382885,389
305588,386
260317,383
175356,382
232172,381
215503,381
304685,378
394678,378
389814,377
14671,376
438484,375
434782,374
272455,373
259884,373
56782,373
415610,373
260650,372
85579,371
446522,369
361956,369
446820,367
450082,367
392074,366
309821,365
449571,365
453618,365
52928,364
413990,363
340375,361
64951,361
268335,359
16813,359
449489,359
11663,358
227211,358
82389,358
237422,357
184199,356
30024,356
359844,356
340960,356
463280,356
218794,355
546,355
37254,354
403757,354
101288,353
118914,352
390591,352
61303,351
450209,350
257575,349
334920,349
294807,349
379390,348
340093,348
240900,347
218626,346
61273,346
68000,346
339517,345
330506,342
448220,342
398489,341
398579,340
190463,337
187138,337
60980,335
57788,335
115696,334
160272,334
120541,333
332629,332
283115,332
124272,332
184998,332
368060,330
307306,330
452852,330
137144,329
200242,329
391289,329
447995,327
323194,327
248455,326
197642,326
116624,326
153778,326
416979,325
204057,324
381613,324
